"1","포퓰리즘에 대해 설명해 주세요.","어원은 인민이나 대중 또는 민중을 뜻하는 라틴어 ‘포풀루스’에서 유래하였으며, 대중주의 또는 민중주의, 인민주의라고도 합니다. 포퓰리즘에 대한 정의를 정확하게 규정하기는 어렵지만 일반적으로 대중의 견해와 바람을 대변하고자 하는 정치 사상 및 활동을 가리키며, 소수의 엘리트가 다수의 대중을 지배하는 엘리트주의에 상대하는 개념으로 간주됩니다.","P","엘리트주의에 대해 설명해 주세요."
"1","포퓰리즘에 대해 설명해 주세요.","대중주의(大衆主義) 또는 포퓰리즘(Populism)은 이데올로기 혹은 정치철학으로서, 다수의 ""대중""을 ""엘리트""를 보다 우위의 주체로 보고 있습니다. 역사적으로 엘리트를 중심으로 이뤄진 정치 및 사회 체제의 변화의 부작용을 비판하면서 등장했습니다. 엘리트 주의를 배제하고 대중을 최고의 선으로 본 포퓰리즘은 ""보통사람들의 요구와 바람을 대변하려는 정치 사상, 활동""이라고 정의하고 있습니다.","F",""
"1","포퓰리즘에 대해 설명해 주세요.","포퓰리즘은 다수를 위한 정책을 통해 정치 및 사회 체제의 변화를 도모하고, 다수의 지지를 얻어내고, 직접적인 정치 참여를 강조하는 이데올로기 입니다. 다수 대중의 동의와 참여를 중요하게 생각하는 점 때문에, 소수를 위한 정책 수립이 어렵다는 단점이 있어 민주주의를 통해 부작용을 해소하고 있습니다.","F",""
"1","포퓰리즘에 대해 설명해 주세요.","정치 지도자들은 정치적 편의를 위해 포퓰리즘이라는 이데올로기를 만들어, 대중을 교묘하게 조종하는 사상적 도구로 사용하고 있습니다. 실질적 민주주의가 아닌 형식적 민주주의의 한 형태로, 대중의 지지를 받기 위해 비현실적인 정책을 내세우고, 실제로는 변화가 생기지 않는다는 점이 큰 특징입니다. ","F",""
"1","포퓰리즘에 대해 설명해 주세요.","대중에게 호소해서 다수를 위한 정책을 수립하고 다수의 지지를 얻어내기 위하여 노력한다는 점, 다수의 지배를 강조하고 직접적인 정치 참여를 강조한다는 점에서 포퓰리즘은 민주주의와 맥을 같이합니다. 즉, 기득권 정치 세력과는 달리 대중의 눈높이에서 그들의 목소리를 직설적으로 표출하고 진정한 민주주의를 위하여 현실을 타개합니다.","P","기득권에 대해 설명해 주세요."
"1","포퓰리즘에 대해 설명해 주세요.","정치 지도자들이 정치적 편의나 기회주의적 생각으로 포퓰리즘을 활용하면서, 실제로는 비민주적 행태와 독재 권력을 공고히 한다고 비판합니다. 즉, 권력과 대중의 정치적 지지를 얻기 위하여 비현실적인 정책을 내세울 뿐이며, 국가와 국민이 아니라 특정 집단의 정치적 목적을 위한 수단으로 악용될 수 있다는 점을 지적합니다.","P","포퓰리즘이 악용될 수 있다는 의미를 설명해 주세요."
"1","3권 분립에 대해 설명해 주세요.","3권분립 이론의 핵심은 자유주의적 요청에 따라 국가권력으로부터 국민의 자유를 지키려는 데 그 진가가 있습니다. 적극적으로 국가권력의 능률향상을 위한 제도가 아니라 소극적으로 국가권력의 집중과 전횡을 막으려는 것이며, 국가권력과 그것을 행사하는 인간에 대한 회의적이고 비판적인 인간관에 근거하고 있습니다.","P","국가권력을 행사하는 비판적인 인간관에 대해 설명해 주세요."
"1","3권 분립에 대해 설명해 주세요.","3권분립 이론의 핵심은 자유주의적 요청에 따라 국가권력으로부터 국민의 자유를 지키려는 데 그 진가가 있습니다. 이때문에 적극적으로 국가권력의 능률향상을 위한 제도라고 볼 수 있습니다. 부차적 효과로 국가권력의 집중과 전횡을 막을 수 있습니다. ","F",""
"1","3권 분립에 대해 설명해 주세요.","3권분립주의는 법치주의의 한 제도로서 다른 조직원리인 군제자나 공화제와는 결코 결합될 수 없는 개념입니다. 또한 3권분립은 자유주의적 요소이므로, 민주주의와 반드시 결부되는 개념입니다. 이 때문에 전제정부를 기반으로 한 입헌정부에서는 적용되기 어렵다는 특징을 가지고 있습니다. ","F",""
"1","3권 분립에 대해 설명해 주세요.","오늘날의 민주주의 국가는 전제화의 우려가 없으므로, 권력분립의 원칙에 반대하는 입장이 주를 이루고 있습니다. 오히려 고전적 권력분립제도가 국가의 효율성을 저해하여, 국가성장과 발전의 저해요소가 되고 있다는 점 때문입니다. ","F",""
